Maven_ID,Maven_Name,Maven_Homepage,Maven_Repo,NPM_ID,NPM_Name,NPM_Homepage,NPM_Repo,PyPI_ID,PyPI_Name,PyPI_Homepage,PyPI_Repo
15966,tech.mlsql:autocoder-cli-sdk,https://github.com/allwefantasy/auto-coder,https://github.com/allwefantasy/auto-coder/tree/master/cli-sdks/java,1400062,autocoder-rag-sdk,https://github.com/allwefantasy/auto-coder/tree/master/rag-sdks/nodejs,git+https://github.com/allwefantasy/auto-coder.git,41297,autocoder-rag-sdk,https://pypi.org/project/autocoder-rag-sdk/,https://github.com/allwefantasy/auto-coder
16560,tech.followthemoney:followthemoney,http://followthemoney.tech/,http://github.com/opensanctions/followthemoney/tree/main,818584,@opensanctions/followthemoney,https://github.com/opensanctions/followthemoney#readme,git+https://github.com/opensanctions/followthemoney.git,222871,followthemoney,https://pypi.org/project/followthemoney/,https://github.com/opensanctions/followthemoney.git
18046,st.tks.cdk:ec2-spot-simple,https://github.com/tksst/cdk-ec2-spot-simple/,https://github.com/tksst/cdk-ec2-spot-simple.git,1536801,cdk-ec2-spot-simple,https://github.com/tksst/cdk-ec2-spot-simple/,git+https://github.com/tksst/cdk-ec2-spot-simple.git,82974,cdk-ec2-spot-simple,https://github.com/tksst/cdk-ec2-spot-simple/,https://github.com/tksst/cdk-ec2-spot-simple.git
19621,software.aws:aws-pdk,https://github.com/aws/aws-pdk,https://github.com/aws/aws-pdk,122550,@aws/pdk,https://github.com/aws/aws-pdk#readme,git+https://github.com/aws/aws-pdk.git,45993,aws-pdk,https://github.com/aws/aws-pdk,https://github.com/aws/aws-pdk
19598,software.aws.jsiisamples.jsii:jsii-code-samples,https://github.com/aws-samples/jsii-code-samples#readme,https://github.com/aws-samples/jsii-code-samples.git,2303750,jsii-code-samples,https://github.com/aws-samples/jsii-code-samples#readme,git+https://github.com/aws-samples/jsii-code-samples.git,45637,aws-jsiisamples.jsii-code-samples,https://github.com/aws-samples/jsii-code-samples#readme,https://github.com/aws-samples/jsii-code-samples.git
19620,software.aws.awsprototypingsdk:aws-arch,https://github.com/aws/aws-prototyping-sdk,https://github.com/aws/aws-prototyping-sdk,1409539,aws-prototyping-sdk,https://github.com/aws/aws-prototyping-sdk#readme,git+https://github.com/aws/aws-prototyping-sdk.git,46038,aws-prototyping-sdk.type-safe-api,https://github.com/aws/aws-prototyping-sdk,https://github.com/aws/aws-prototyping-sdk
19624,software.amazon.textract.idp:idp-cdk-constructs,https://github.com/aws-samples/amazon-textract-idp-cdk-constructs.git,https://github.com/aws-samples/amazon-textract-idp-cdk-constructs.git,1328277,amazon-textract-idp-cdk-constructs,https://github.com/aws-samples/amazon-textract-idp-cdk-constructs#readme,git+https://github.com/aws-samples/amazon-textract-idp-cdk-constructs.git,21597,amazon-textract-idp-cdk-constructs,https://github.com/aws-samples/amazon-textract-idp-cdk-constructs.git,https://github.com/aws-samples/amazon-textract-idp-cdk-constructs.git
646638,com.github.hnishar.konstruk:apigatewaydynamodb,https://github.com/awslabs/aws-solutions-konstruk.git,https://github.com/awslabs/aws-solutions-konstruk.git,122431,@aws-solutions-konstruk/core,https://github.com/awslabs/aws-solutions-konstruk#readme,git+https://github.com/awslabs/aws-solutions-konstruk.git,46367,aws-solutions-konstruk.core,https://github.com/awslabs/aws-solutions-konstruk.git,https://github.com/awslabs/aws-solutions-konstruk.git
20985,software.amazon.awscdk:accessanalyzer,https://github.com/aws/aws-cdk,https://github.com/aws/aws-cdk.git,2568547,monocdk-experiment,https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,370293,monocdk.experiment,https://github.com/aws/aws-cdk,https://github.com/aws/aws-cdk.git
20952,software.amazon.awscdk:autoscaling-api,https://github.com/awslabs/aws-cdk,https://github.com/awslabs/aws-cdk.git,3208742,simple-resource-bundler,https://github.com/awslabs/aws-cdk,git+https://github.com/awslabs/aws-cdk.git,45147,aws-cdk.runtime-values,https://github.com/awslabs/aws-cdk,https://github.com/awslabs/aws-cdk.git
20753,software.amazon.awscdk:lambda-dotnet,https://github.com/cdklabs/awscdk-lambda-dotnet.git,https://github.com/cdklabs/awscdk-lambda-dotnet.git,120736,@aws-cdk/aws-lambda-dotnet,https://github.com/cdklabs/awscdk-lambda-dotnet#readme,git+https://github.com/cdklabs/awscdk-lambda-dotnet.git,83034,cdklabs.aws-lambda-dotnet,https://github.com/cdklabs/awscdk-lambda-dotnet.git,https://github.com/cdklabs/awscdk-lambda-dotnet.git
20924,software.amazon.awscdk:cdk-cli-lib-alpha,https://github.com/aws/aws-cdk,https://github.com/aws/aws-cdk-cli,3269751,sst-aws-cdk,https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk-cli.git,45103,aws-cdk.cloud-assembly-schema,https://github.com/aws/aws-cdk,https://github.com/aws/aws-cdk-cli
